repository,owner,repo_name,stars,forks,description,dataset_index,collection_failed,created_at,pushed_at,language,has_issues,has_projects,has_wiki,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
lightdash/lightdash,lightdash,lightdash,5090,611,Self-serve BI to 10x your data team ⚡️,49,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
ArroyoSystems/arroyo,ArroyoSystems,arroyo,4515,303,Distributed stream processing engine in Rust,50,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
Helicone/helicone,Helicone,helicone,4488,433,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",51,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.4137931034482758,0.41379310344827563,0.4137931034482758
rivet-gg/rivet,rivet-gg,rivet,4366,113,Scale and orchestrate RivetKit,52,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.6249999999999999,0.0,0.0,0,0.5172413793103449,0.5172413793103446,0.517241379310345
defog-ai/sqlcoder,defog-ai,sqlcoder,3883,262,SoTA LLM for converting natural language questions to SQL queries,53,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
requestly/requestly,requestly,requestly,3976,335,Free and open-source API Client & Interceptor.,54,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.5625,1.0,0.0,0,0.5517241379310345,0.5517241379310344,0.5517241379310344
vocodedev/vocode-core,vocodedev,vocode-core,3440,622,🤖 Build voice-based LLM agents. Modular + open source.,55,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
fern-api/fern,fern-api,fern,3308,244,Input OpenAPI. Output SDKs and Docs.,56,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.37499999999999994,1.0,0.0,0,0.39655172413793094,0.39655172413793077,0.3965517241379309
OpenPipe/OpenPipe,OpenPipe,OpenPipe,2730,160,Turn expensive prompts into cheap fine-tuned models,57,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
questdb/questdb,questdb,questdb,16082,1472,"QuestDB is a high performance, open-source, time-series database",58,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.4137931034482758,0.41379310344827563,0.4137931034482758
langfuse/langfuse,langfuse,langfuse,16053,1497,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",59,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,1.0,0.0,0,0.9137931034482758,0.9137931034482758,0.9137931034482758
supertokens/supertokens-core,supertokens,supertokens-core,14498,609,Open source alternative to Auth0 / Firebase Auth / AWS Cognito ,60,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Eventual-Inc/Daft,Eventual-Inc,Daft,4337,296,Distributed query engine providing simple and reliable data processing for any modality and scale,61,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
bytebot-ai/bytebot,bytebot-ai,bytebot,6728,733,"Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language commands, operating within a containerized Linux desktop environment.",62,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344828,0.7241379310344828,0.7241379310344828
kestra-io/kestra,kestra-io,kestra,21129,1809,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins for data, infrastructure, and AI automation.",63,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,1.0,0.0,0,0.9137931034482758,0.9137931034482758,0.9137931034482758
emcie-co/parlant,emcie-co,parlant,11778,943,LLM agents built for control. Designed for real-world use. Deployed in minutes.,64,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
documenso/documenso,documenso,documenso,11589,1960,The Open Source DocuSign Alternative.,65,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
makeplane/plane,makeplane,plane,38697,2687,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",66,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
formbricks/formbricks,formbricks,formbricks,11241,1990,Open Source Qualtrics Alternative,67,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
erxes/erxes,erxes,erxes,3681,1166,Source available experience management infrastructure. Pioneering the future of experiences with XOS (Experience Operating System). Hubspot + Qualtrics alternative,68,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
novuhq/novu,novuhq,novu,37755,4110,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",69,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,1.0,0.0,0,0.9137931034482758,0.9137931034482758,0.9137931034482758
knadh/listmonk,knadh,listmonk,17782,1740,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",70,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344828,0.7241379310344828,0.7241379310344828
paperless-ngx/paperless-ngx,paperless-ngx,paperless-ngx,31942,1952,"A community-supported supercharged document management system: scan, index and archive all your documents",71,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.4137931034482758,0.41379310344827563,0.4137931034482758
OpenBB-finance/OpenBB,OpenBB-finance,OpenBB,52175,4954,"Financial data platform for analysts, quants and AI agents.",72,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
rowyio/rowy,rowyio,rowy,6729,539,"Low-code backend platform. Manage database on spreadsheet-like UI and build cloud functions workflows in JS/TS, all in your browser.",73,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
Infisical/infisical,Infisical,infisical,20053,1349,"Infisical is the open-source platform for secrets management, PKI, and SSH access.",74,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.4137931034482758,0.41379310344827563,0.4137931034482758
teableio/teable,teableio,teable,19482,1021,✨ The Next Gen Airtable Alternative: No-Code Postgres,75,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344828,0.7241379310344828,0.7241379310344828
logto-io/logto,logto-io,logto,10748,615,"🧑‍🚀 Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",76,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
