repository,owner,repo_name,stars,forks,description,dataset_index,collection_failed,created_at,pushed_at,language,has_issues,has_projects,has_wiki
paradedb/paradedb,paradedb,paradedb,7730,273,"ParadeDB is a modern Elasticsearch alternative built on Postgres. Built for real-time, update-heavy workloads.",39,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
firezone/firezone,firezone,firezone,7506,334,Enterprise-ready zero-trust access platform built on WireGuard®.,40,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
growthbook/growthbook,growthbook,growthbook,6847,596,Open Source Feature Flagging and A/B Testing Platform,41,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
shuttle-hq/shuttle,shuttle-hq,shuttle,6650,277,Build & ship backends without writing any infrastructure files.,42,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
evidentlyai/evidently,evidentlyai,evidently,6600,723,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",43,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
traceloop/openllmetry,traceloop,openllmetry,6389,798,"Open-source observability for your LLM application, based on OpenTelemetry",44,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
superagent-ai/superagent,superagent-ai,superagent,6118,937,The worlds first purpose-built firewall for AI,45,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
authzed/spicedb,authzed,spicedb,6017,341,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data",46,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
hatchet-dev/hatchet,hatchet-dev,hatchet,6019,262,🪓 Run Background Tasks at Scale,47,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
NangoHQ/nango,NangoHQ,nango,5848,543,A single API for all your integrations.,48,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
lightdash/lightdash,lightdash,lightdash,5090,611,Self-serve BI to 10x your data team ⚡️,49,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
ArroyoSystems/arroyo,ArroyoSystems,arroyo,4515,303,Distributed stream processing engine in Rust,50,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
Helicone/helicone,Helicone,helicone,4488,433,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",51,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
rivet-gg/rivet,rivet-gg,rivet,4366,113,Scale and orchestrate RivetKit,52,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
defog-ai/sqlcoder,defog-ai,sqlcoder,3883,262,SoTA LLM for converting natural language questions to SQL queries,53,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
requestly/requestly,requestly,requestly,3976,335,Free and open-source API Client & Interceptor.,54,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
vocodedev/vocode-core,vocodedev,vocode-core,3440,622,🤖 Build voice-based LLM agents. Modular + open source.,55,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
fern-api/fern,fern-api,fern,3308,244,Input OpenAPI. Output SDKs and Docs.,56,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
OpenPipe/OpenPipe,OpenPipe,OpenPipe,2730,160,Turn expensive prompts into cheap fine-tuned models,57,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
questdb/questdb,questdb,questdb,16082,1472,"QuestDB is a high performance, open-source, time-series database",58,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
langfuse/langfuse,langfuse,langfuse,16053,1497,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",59,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
supertokens/supertokens-core,supertokens,supertokens-core,14498,609,Open source alternative to Auth0 / Firebase Auth / AWS Cognito ,60,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
Eventual-Inc/Daft,Eventual-Inc,Daft,4337,296,Distributed query engine providing simple and reliable data processing for any modality and scale,61,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
bytebot-ai/bytebot,bytebot-ai,bytebot,6728,733,"Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language commands, operating within a containerized Linux desktop environment.",62,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
kestra-io/kestra,kestra-io,kestra,21129,1809,":zap: Universal Workflow Orchestration Platform — Code in any language, run anywhere. 900+ plugins for data, infrastructure, and AI automation.",63,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
emcie-co/parlant,emcie-co,parlant,11778,943,LLM agents built for control. Designed for real-world use. Deployed in minutes.,64,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
documenso/documenso,documenso,documenso,11589,1960,The Open Source DocuSign Alternative.,65,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
makeplane/plane,makeplane,plane,38697,2687,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",66,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
formbricks/formbricks,formbricks,formbricks,11241,1990,Open Source Qualtrics Alternative,67,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
erxes/erxes,erxes,erxes,3681,1166,Source available experience management infrastructure. Pioneering the future of experiences with XOS (Experience Operating System). Hubspot + Qualtrics alternative,68,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
novuhq/novu,novuhq,novu,37755,4110,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",69,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
knadh/listmonk,knadh,listmonk,17782,1740,"High performance, self-hosted, newsletter and mailing list manager with a modern dashboard. Single binary app.",70,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
paperless-ngx/paperless-ngx,paperless-ngx,paperless-ngx,31942,1952,"A community-supported supercharged document management system: scan, index and archive all your documents",71,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
OpenBB-finance/OpenBB,OpenBB-finance,OpenBB,52175,4954,"Financial data platform for analysts, quants and AI agents.",72,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
rowyio/rowy,rowyio,rowy,6729,539,"Low-code backend platform. Manage database on spreadsheet-like UI and build cloud functions workflows in JS/TS, all in your browser.",73,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
Infisical/infisical,Infisical,infisical,20053,1349,"Infisical is the open-source platform for secrets management, PKI, and SSH access.",74,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
teableio/teable,teableio,teable,19482,1021,✨ The Next Gen Airtable Alternative: No-Code Postgres,75,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
logto-io/logto,logto-io,logto,10748,615,"🧑‍🚀 Authentication and authorization infrastructure for SaaS and AI apps, built on OIDC and OAuth 2.1 with multi-tenancy, SSO, and RBAC.",76,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
Unleash/unleash,Unleash,unleash,12608,792,Open-source feature management platform,77,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
